Adj Close,Open,Low,Close,Volume,High,Date
182.179993,182.990005,181.449997,182.179993,3917500.0,183.580002,2017-03-03
182.990005,184.0,182.970001,182.990005,4902000.0,185.710007,2017-03-02
183.910004,181.850006,181.820007,183.910004,5350700.0,184.800003,2017-03-01
180.229996,180.339996,179.669998,180.229996,4761700.0,181.929993,2017-02-28
179.429993,178.0,177.550003,179.429993,2831000.0,179.880005,2017-02-27
177.440002,176.75,176.100006,177.440002,4169900.0,178.800003,2017-02-24
176.860001,175.970001,175.699997,176.860001,3442300.0,177.0,2017-02-23
175.360001,174.979996,174.009995,175.360001,2827500.0,175.75,2017-02-22
175.559998,173.919998,173.679993,175.559998,4029200.0,176.169998,2017-02-21
172.710007,170.410004,170.399994,172.710007,4878900.0,173.25,2017-02-17
170.809998,169.740005,168.75,170.809998,3057200.0,170.809998,2017-02-16
169.300003,168.419998,168.350006,169.300003,4005000.0,169.949997,2017-02-15
168.5,167.699997,167.220001,168.5,2579300.0,168.800003,2017-02-14
168.029999,166.449997,166.350006,168.029999,3765000.0,169.070007,2017-02-13
166.229996,165.25,164.470001,166.229996,2689700.0,166.449997,2017-02-10
164.279999,164.669998,164.059998,164.279999,3451100.0,165.089996,2017-02-09
163.809998,165.0,163.690002,163.809998,3041600.0,165.240005,2017-02-08
165.08,165.0,164.869995,166.5,4243200.0,167.419998,2017-02-07
162.581487,162.419998,162.380005,163.979996,3110500.0,164.080002,2017-02-06
161.014961,162.990005,162.309998,162.399994,2981700.0,163.559998,2017-02-03
160.876155,163.220001,160.820007,162.259995,3791700.0,163.970001,2017-02-02
162.571578,164.25,163.119995,163.970001,3138000.0,165.809998,2017-02-01
162.026266,164.960007,163.220001,163.419998,5350700.0,165.100006,2017-01-31
164.157938,165.919998,163.820007,165.570007,5456300.0,165.990005,2017-01-30
166.269762,169.210007,167.009995,167.699997,4883200.0,169.800003,2017-01-27
167.67765,167.25,167.25,169.119995,5436800.0,170.0,2017-01-26
165.932666,163.589996,163.240005,167.360001,7480000.0,168.649994,2017-01-25
159.180747,158.580002,157.839996,160.550003,3927500.0,160.929993,2017-01-24
156.493853,158.940002,157.289993,157.839996,3931200.0,159.5,2017-01-23
158.169442,159.809998,158.229996,159.529999,3384500.0,160.300003,2017-01-20
157.643964,158.869995,157.910004,159.0,3144000.0,159.869995,2017-01-19
156.96977,157.550003,156.75,158.320007,2087000.0,159.050003,2017-01-18
156.325305,158.199997,157.229996,157.669998,2758800.0,159.039993,2017-01-17
