Low,High,Adj Close,Date,Volume,Close,Open
138.589996,139.830002,139.779999,2017-03-03,21108100.0,139.779999,138.779999
138.759995,140.279999,138.960007,2017-03-02,26153300.0,138.960007,140.0
137.600006,140.149994,139.789993,2017-03-01,36272400.0,139.789993,137.889999
136.699997,137.440002,136.990005,2017-02-28,23403500.0,136.990005,137.080002
136.279999,137.440002,136.929993,2017-02-27,20196400.0,136.929993,137.139999
135.279999,136.660004,136.660004,2017-02-24,21690900.0,136.660004,135.910004
136.300003,137.479996,136.529999,2017-02-23,20704100.0,136.529999,137.380005
136.110001,137.119995,137.110001,2017-02-22,20745300.0,137.110001,136.429993
135.979996,136.75,136.699997,2017-02-21,24265100.0,136.699997,136.229996
135.100006,135.830002,135.720001,2017-02-17,22084500.0,135.720001,135.100006
134.839996,135.899994,135.350006,2017-02-16,22118000.0,135.350006,135.669998
134.619995,136.270004,135.509995,2017-02-15,35501600.0,135.509995,135.520004
133.25,135.089996,135.020004,2017-02-14,32815500.0,135.020004,133.470001
132.75,133.820007,133.289993,2017-02-13,23035400.0,133.289993,133.080002
132.050003,132.940002,132.119995,2017-02-10,20065500.0,132.119995,132.460007
131.119995,132.449997,132.419998,2017-02-09,28349900.0,132.419998,131.649994
131.220001,132.220001,131.469994,2017-02-08,23004100.0,132.039993,131.350006
130.449997,132.089996,130.962201,2017-02-07,38183800.0,131.529999,130.539993
128.899994,130.5,129.727549,2017-02-06,26845900.0,130.289993,129.130005
128.160004,129.190002,128.522781,2017-02-03,24507300.0,129.080002,128.309998
127.779999,129.389999,127.975152,2017-02-02,33710400.0,128.529999,127.980003
127.010002,130.490005,128.194203,2017-02-01,111985000.0,128.75,127.029999
120.620003,121.389999,120.826147,2017-01-31,49201000.0,121.349998,121.150002
120.660004,121.629997,121.104937,2017-01-30,30377500.0,121.629997,120.93
121.599998,122.349998,121.423555,2017-01-27,20562900.0,121.949997,122.139999
121.599998,122.440002,121.413604,2017-01-26,26337600.0,121.940002,121.669998
120.279999,122.099998,121.353858,2017-01-25,32377600.0,121.879997,120.419998
119.5,120.099998,119.452107,2017-01-24,23211000.0,119.970001,119.550003
119.769997,120.809998,119.561633,2017-01-23,22050200.0,120.080002,120.0
119.730003,120.449997,119.481976,2017-01-20,32597900.0,120.0,120.449997
119.370003,120.089996,119.262925,2017-01-19,25597300.0,119.779999,119.400002
119.709999,120.5,119.472017,2017-01-18,23713000.0,119.989998,120.0
118.220001,120.239998,119.481976,2017-01-17,34439800.0,120.0,118.339996
118.809998,119.620003,118.526121,2017-01-13,26111900.0,119.040001,119.110001
