Volume,Adj Close,Open,Close,High,Date,Low
3108300.0,112.339996,112.690002,112.339996,113.43,2017-03-03,112.169998
2869600.0,112.690002,113.830002,112.690002,114.040001,2017-03-02,112.629997
5046700.0,113.68,113.639999,113.68,114.440002,2017-03-01,113.459999
2929600.0,112.550003,112.970001,112.550003,113.190002,2017-02-28,112.339996
2718900.0,112.809998,112.589996,112.809998,112.970001,2017-02-27,112.029999
2639300.0,112.459999,111.82,112.459999,112.690002,2017-02-24,111.75
3463400.0,112.089996,112.699997,112.089996,112.879997,2017-02-23,111.970001
2203600.0,112.660004,112.349998,112.660004,112.709999,2017-02-22,111.720001
1912800.0,112.5,112.190002,112.5,112.800003,2017-02-21,112.040001
2492400.0,112.150002,111.93,112.150002,112.330002,2017-02-17,111.610001
2789700.0,112.07,112.139999,112.07,112.330002,2017-02-16,111.809998
2600600.0,111.910004,111.129997,111.910004,112.080002,2017-02-15,111.059998
2771900.0,110.909998,111.989998,111.57,112.32,2017-02-14,111.449997
2830800.0,111.357333,111.610001,112.019997,112.099998,2017-02-13,111.419998
2679200.0,110.393078,110.25,111.050003,111.260002,2017-02-10,110.080002
2654000.0,109.43875,110.400002,110.089996,110.720001,2017-02-09,110.0
2072300.0,109.746921,111.089996,110.400002,111.089996,2017-02-08,110.349998
2774400.0,110.591891,111.379997,111.25,111.730003,2017-02-07,110.970001
4229600.0,110.025264,109.809998,110.68,111.25,2017-02-06,109.68
3411200.0,109.001358,108.529999,109.650002,109.779999,2017-02-03,108.5
4714500.0,107.718988,108.080002,108.360001,108.68,2017-02-02,106.849998
4670100.0,107.540053,109.629997,108.18,109.910004,2017-02-01,107.900002
3945700.0,109.021236,109.040001,109.669998,109.809998,2017-01-31,108.389999
2909900.0,108.524194,109.309998,109.169998,109.599998,2017-01-30,108.25
2830000.0,109.051058,110.150002,109.699997,110.900002,2017-01-27,109.610001
3996000.0,109.707157,110.800003,110.360001,111.489998,2017-01-26,109.529999
5054000.0,110.303606,111.870003,110.959999,112.510002,2017-01-25,108.779999
3240000.0,110.949762,110.68,111.610001,111.690002,2017-01-24,110.339996
2296600.0,109.687271,110.839996,110.339996,111.300003,2017-01-23,109.980003
3134300.0,110.134614,110.949997,110.790001,111.099998,2017-01-20,110.029999
2828200.0,110.074971,111.029999,110.730003,111.599998,2017-01-19,110.019997
2600300.0,109.7668,110.199997,110.419998,110.889999,2017-01-18,109.82
2240100.0,109.319465,109.779999,109.970001,110.269997,2017-01-17,109.400002
2880600.0,109.567986,110.93,110.220001,111.260002,2017-01-13,109.849998
2644600.0,110.164435,111.139999,110.82,111.139999,2017-01-12,109.709999
2746200.0,110.34337,111.620003,111.0,111.620003,2017-01-11,110.580002
1800400.0,110.601834,111.75,111.260002,111.830002,2017-01-10,111.059998
2434100.0,110.840413,112.699997,111.5,112.699997,2017-01-09,111.269997
2622000.0,111.884204,111.419998,112.550003,112.830002,2017-01-06,111.059998
3344900.0,110.691298,111.169998,111.349998,111.940002,2017-01-05,110.559998
3091400.0,110.243963,111.459999,110.900002,111.699997,2017-01-04,110.580002
2739600.0,110.174378,110.389999,110.830002,110.959999,2017-01-03,110.0
2200500.0,108.971537,110.589996,109.620003,110.790001,2016-12-30,109.379997
2903600.0,109.896035,110.279999,110.550003,110.82,2016-12-29,110.029999
1894800.0,109.538164,111.0,110.190002,111.089996,2016-12-28,110.099998
1067300.0,110.323492,111.040001,110.980003,111.129997,2016-12-27,110.5
1303200.0,109.995442,110.349998,110.650002,110.830002,2016-12-23,110.040001
2087900.0,109.806564,110.580002,110.459999,110.760002,2016-12-22,109.690002
2078700.0,109.836385,110.940002,110.489998,111.129997,2016-12-21,110.470001
2256000.0,109.995442,110.93,110.650002,111.0,2016-12-20,110.150002
3838300.0,110.164435,109.57,110.82,111.07,2016-12-19,108.879997
7986200.0,107.878038,108.410004,108.519997,109.260002,2016-12-16,108.089996
3611100.0,107.490345,109.040001,108.129997,109.43,2016-12-15,108.120003
2761200.0,108.623601,110.349998,109.269997,110.440002,2016-12-14,109.089996
3807600.0,109.65745,110.879997,110.309998,111.690002,2016-12-13,110.260002
4478700.0,109.736978,109.419998,110.389999,110.5,2016-12-12,108.790001
3428300.0,109.140529,108.540001,109.790001,109.989998,2016-12-09,108.059998
3168500.0,107.788574,109.669998,108.43,109.68,2016-12-08,108.139999
